
,Trade Date,,20191206

JPX Code,164120005
Instrument,FUT_TOPIX_1912
11544,岩井コスモ証券,IwaiCosmo Securities,4,12000,大和証券,Daiwa Securities,5
11056,安藤証券,ANDO SECURITIES,1,11544,岩井コスモ証券,IwaiCosmo Securities,3
-,-,-,-,11056,安藤証券,ANDO SECURITIES,1

JPX Code,165020019
Instrument,FUT_NK225M_2002
11788,ソシエテ・ジェネラル,Societe Generale,47,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,76
12560,松井証券,MATSUI SECURITIES,31,11788,ソシエテ・ジェネラル,Societe Generale,42
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,28,12560,松井証券,MATSUI SECURITIES,20
11060,ａｕカブコム証券,au Kabucom Securitie,28,11256,ＳＢＩ証券,SBI SECURITIES,17
12057,楽天証券,Rakuten Securities,23,11060,ａｕカブコム証券,au Kabucom Securitie,14
11256,ＳＢＩ証券,SBI SECURITIES,19,12057,楽天証券,Rakuten Securities,9
12000,大和証券,Daiwa Securities,6,11272,岡三証券,OKASAN SECURITIES,5
12330,マネックス証券,Monex,5,12330,マネックス証券,Monex,4
11727,ＧＭＯクリック証券,GMO CLICK Securities,1,12000,大和証券,Daiwa Securities,2
11272,岡三証券,OKASAN SECURITIES,1,-,-,-,-

JPX Code,134122318
Instrument,PUT_NK225_191213_22375
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),302,11788,ソシエテ・ジェネラル,Societe Generale,311
11788,ソシエテ・ジェネラル,Societe Generale,260,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),291
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,231,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,206
11256,ＳＢＩ証券,SBI SECURITIES,48,11256,ＳＢＩ証券,SBI SECURITIES,40
12057,楽天証券,Rakuten Securities,28,11060,ａｕカブコム証券,au Kabucom Securitie,22
12560,松井証券,MATSUI SECURITIES,14,12057,楽天証券,Rakuten Securities,14
11016,藍澤證券,AIZAWA SECURITIES,6,12560,松井証券,MATSUI SECURITIES,13
11784,ライブスター証券,livestar Securities,4,11784,ライブスター証券,livestar Securities,3
11060,ａｕカブコム証券,au Kabucom Securitie,3,11727,ＧＭＯクリック証券,GMO CLICK Securities,3
11272,岡三証券,OKASAN SECURITIES,2,12888,山和証券,YAMAWA SECURITIES,1
11544,岩井コスモ証券,IwaiCosmo Securities,2,-,-,-,-
12000,大和証券,Daiwa Securities,2,-,-,-,-
12888,山和証券,YAMAWA SECURITIES,1,-,-,-,-
12330,マネックス証券,Monex,1,-,-,-,-

JPX Code,134122518
Instrument,PUT_NK225_191213_22500
11714,ＪＰモルガン証券,JPMorgan Japan,651,12479,ＡＢＮアムロクリア,ABN AMRO Clearing,985
12479,ＡＢＮアムロクリア,ABN AMRO Clearing,581,11788,ソシエテ・ジェネラル,Societe Generale,636
12428,ＢＮＰパリバ証券,BNP Paribas (Japan),479,12428,ＢＮＰパリバ証券,BNP Paribas (Japan),434
11788,ソシエテ・ジェネラル,Societe Generale,437,11256,ＳＢＩ証券,SBI SECURITIES,245
12560,松井証券,MATSUI SECURITIES,249,12560,松井証券,MATSUI SECURITIES,207
12800,モルガンスタンレー,Morgan Stanley MUFG,200,12896,豊証券,Yutaka Securities,190
12896,豊証券,Yutaka Securities,168,12057,楽天証券,Rakuten Securities,122
12057,楽天証券,Rakuten Securities,91,11060,ａｕカブコム証券,au Kabucom Securitie,99
11256,ＳＢＩ証券,SBI SECURITIES,81,12464,廣田証券,HIROTA SECURITIES,57
12464,廣田証券,HIROTA SECURITIES,64,12176,ドイツ証券,Deutsche Securities,39
11060,ａｕカブコム証券,au Kabucom Securitie,46,12888,山和証券,YAMAWA SECURITIES,39
12000,大和証券,Daiwa Securities,26,12330,マネックス証券,Monex,18
11696,みずほ証券,Mizuho Securities,10,12000,大和証券,Daiwa Securities,16
11784,ライブスター証券,livestar Securities,7,11272,岡三証券,OKASAN SECURITIES,14
